"Customer AWS Account Number","Product Title","Product Id","Product Code","Subscription Start Date","Offer ID","Offer Visibility","Solution Title","Solution ID","Payer Reference ID","Reseller Account Id","Reseller Account Name","Customer Reference ID"
"0163-5506-6488","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2017-09-08","aiuhmjnu9qqdkztzj54s7nh15","Public","","","NvQoRSesu3d","","","PjZ3HqPsAgV"
"0195-1886-0202","Informatica PowerCenter For Windows (BYOL)","73eb10f0-ef93-494a-bff4-de78cbe56fcb","6v1zb9yrtsigaykmxgr2y7557","2018-06-19","6v1zb9yrtsigaykmxgr2y7557","Public","","","MXT79JfpLBe","","","3C4R6ApHsvz"
"0248-6449-9182","Informatica Hadoop-Cluster Image for EDC","85c0aa97-5554-4147-9eb0-94303afb4ac6","7x2ci0we5b2vikhvg2iwjy0na","2019-09-20","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","8XbBhVDfpNH","","","67Bh6VfJYYA"
"0248-6449-9182","Informatica Enterprise Data Catalog","29fbb919-4f8a-4af7-9e46-ba061ade5d5d","2hh82o246wij4w0fcz9f5h9wd","2019-09-20","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","8XbBhVDfpNH","","","67Bh6VfJYYA"
"0248-6449-9182","Informatica Remote Access Jump Server","52a175fa-cae4-42ef-88df-3d113b71d4e7","4w3y90hx6tdbfy7xvv2vim5t3","2019-09-20","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","8XbBhVDfpNH","","","67Bh6VfJYYA"
"0252-3909-2240","Informatica Intelligent Cloud Services for Amazon RDS (Linux)","48243d1e-7e6c-418b-bb1a-97db2efb6f35","49r5o15wy6oqzzr1zrltstr91","2018-03-25","49r5o15wy6oqzzr1zrltstr91","Public","","","F7qywgV1yuw","","","F7qywgV1yuw"
"0265-2872-0964","Informatica PowerCenter For Red Hat Linux (PAYG)","a1394219-fced-4a9c-87b9-b525ab7793f0","9jm3n4pl2h59tpnsrilkg190w","2019-08-01","9jm3n4pl2h59tpnsrilkg190w","Public","","","VnfJLFcJ8Mv","","","VnfJLFcJ8Mv"
"0298-8977-6731","Informatica Big Data Management","c7cfaf5d-be97-48f4-8722-67ed54b672cb","btusblrp1k2191podtjrzj8wb","2019-02-15","offer-zsibznfxcdstu","Public","Informatica Big Data Management","73cfd3db-c109-45dc-acd9-88a914ba3b3b","cBaWX3sk4G5","","","cBaWX3sk4G5"
"0298-8977-6731","Informatica Big Data Management","e1c7914f-2552-4184-8394-dc2348458309","dd78l7yoaveyrb70mmdn80lxl","2019-02-15","offer-zsibznfxcdstu","Public","Informatica Big Data Management","73cfd3db-c109-45dc-acd9-88a914ba3b3b","cBaWX3sk4G5","","","cBaWX3sk4G5"
"0313-8084-8905","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2020-01-01","aiuhmjnu9qqdkztzj54s7nh15","Public","","","BY7reP65U5D","","","BY7reP65U5D"
"0313-8084-8905","Informatica Big Data Management","b1dd2def-4f96-41c3-9e2d-1837a11216e5","aj2unw04iokvt8qfnv02nq485","2020-01-01","aj2unw04iokvt8qfnv02nq485","Public","","","BY7reP65U5D","","","BY7reP65U5D"
"0313-8084-8905","Informatica Remote Access Jump Server","5e3e9ffe-28b6-44ad-bd53-16264f48e170","5kv1mgs988nznne08lyv2y99s","2020-01-01","offer-dvsouy6jk5t72","Public","Informatica Big Data Management","4459c86f-974a-49d6-a7c2-e39a609b8752","BY7reP65U5D","","","BY7reP65U5D"
"0313-8084-8905","Informatica Big Data Management","7e3f3999-bc98-4a05-ae72-5e579f0d8646","7h2gu5zca6q4lrf0gb9ibm53a","2020-01-01","offer-dvsouy6jk5t72","Public","Informatica Big Data Management","4459c86f-974a-49d6-a7c2-e39a609b8752","BY7reP65U5D","","","BY7reP65U5D"
"0314-7120-4251","Informatica Data Quality For RHEL (BYOL)","b788a592-68c3-49f1-a73f-cebb8908f2e6","av5vh3shzny6l5b8xrh9a9y3q","2018-11-15","av5vh3shzny6l5b8xrh9a9y3q","Public","","","gnR4LB5HV21","","","i8sR4Nh5xNJ"
"0314-7120-4251","Informatica Data Quality For Windows (BYOL)","56aa4bec-8379-4f76-9e08-f99c6b7d57e9","54pi6dirauiqk20ougnfis25l","2018-02-23","54pi6dirauiqk20ougnfis25l","Public","","","gnR4LB5HV21","","","i8sR4Nh5xNJ"
"0315-8423-6881","Informatica Intelligent Cloud Services Secure Agent Windows (BYOL)","215b1383-16d0-4c02-bff2-22910f6cf62b","1z39kfmcs0y09y643qvb8pwrv","2020-04-15","1z39kfmcs0y09y643qvb8pwrv","Public","","","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Engineering Streaming - Bastion","6af5a8b1-858b-4f52-80ac-472b07de3e9b","6bym9t5wqfuusg408guuvt0gr","2020-09-03","offer-suf25khvo4gxi","Public","Informatica Data Engineering Streaming","d5f39727-46cd-4d0f-9366-af58c3a9c0b8","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Engineering Quality - Rhel","583523a0-997c-461e-ac04-5fcf86de5427","57zudxhhivcqrwzgnr6g02qsn","2020-09-03","offer-azpda2b4e62du","Public","Informatica Data Engineering Quality","7425b936-0920-4efa-9494-4f5901f6063d","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2020-04-20","aiuhmjnu9qqdkztzj54s7nh15","Public","","","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Engineering Quality - Bastion","17f1bf15-0fc0-48c6-b424-928788f0efdf","1f15rhubh8nx6evv3hnejzkyn","2020-09-03","offer-azpda2b4e62du","Public","Informatica Data Engineering Quality","7425b936-0920-4efa-9494-4f5901f6063d","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Hadoop-Cluster Image for EDC","85c0aa97-5554-4147-9eb0-94303afb4ac6","7x2ci0we5b2vikhvg2iwjy0na","2020-10-07","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Enterprise Data Catalog - Rhel","f14bcb8d-1ceb-4d05-b2b6-07d944d1f708","ea9rhy6qshwsphjkp39gwbmko","2020-04-02","offer-qaseju72rnfoe","Public","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Management as a Service for Amazon Web Services","1f0b9557-84e4-4bcb-acc2-aa5be6e98f83","1u5zklci5o5f4oglizbnsyt1f","2020-04-15","1u5zklci5o5f4oglizbnsyt1f","Public","","","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Enterprise Data Catalog - Bastion","dcf7c1e2-b242-40b7-8b3d-0660f1e3b8d8","d2y1srilp9bt0hny7jwuveeoo","2020-04-02","offer-qaseju72rnfoe","Public","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Quality For Red Hat Linux (BYOL)","c3c96251-7f6e-4534-973a-9995df191e03","bl9zqt4jw1vz3e9n1bhsxx62r","2020-09-03","offer-mzfcqdh2lst7k","Public","Informatica Data Quality","0e5cdade-28f5-4670-a6ba-b3cf8ea6faf6","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Engineering Streaming - Rhel","3e4a304c-5cf3-475f-b6db-150d050eb028","3or9nhhqxjqu1xdst8gmz5160","2020-09-03","offer-suf25khvo4gxi","Public","Informatica Data Engineering Streaming","d5f39727-46cd-4d0f-9366-af58c3a9c0b8","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica PowerCenter For Windows (PAYG)","726f8e47-3948-42f5-aa00-52b4b04ed02f","6rw8j5r6act8h2gebd9t58tgv","2020-07-02","6rw8j5r6act8h2gebd9t58tgv","Public","","","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Engineering Integration - Rhel","f180f4ab-37b7-432e-a915-7ec9eedf1792","eapp2z03aqatritnmgwgwypw2","2020-09-03","offer-jwq2frbmgo5zw","Public","Informatica Data Engineering Integration","094affe0-5fcb-4b32-8022-de8edcb1c464","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Remote Access Jump Server","52a175fa-cae4-42ef-88df-3d113b71d4e7","4w3y90hx6tdbfy7xvv2vim5t3","2020-10-07","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Engineering Integration - Bastion","a7e3b4dd-4c4c-4942-8049-e17435079a0f","9xtjluufbuozsudvpqec7e8lr","2020-09-03","offer-jwq2frbmgo5zw","Public","Informatica Data Engineering Integration","094affe0-5fcb-4b32-8022-de8edcb1c464","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Privacy Management 1041 - Bastion","5f358be1-a05d-4ec8-8953-fa2a06b7fe83","5mx1tftzndovnuv4qrqlztpqb","2020-09-09","offer-lbq6laz2l5zvc","Public","Informatica Data Privacy Management","d0b3768b-cea4-416e-ad7b-1ca2120cd9ae","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Enterprise Data Preparation -Bastion","92fae392-02a2-4ef4-8c92-9514b4382a9a","8p98mkhe5k1e2ibbb1617eqvu","2020-04-15","offer-4j6oolr3mhkue","Public","Informatica Enterprise Data Preparation","0afc7704-c1c0-4304-82b6-7666e0bc8c75","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Enterprise Data Catalog","29fbb919-4f8a-4af7-9e46-ba061ade5d5d","2hh82o246wij4w0fcz9f5h9wd","2020-10-07","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Quality For Windows (BYOL)","ba3e7631-81d2-4d6a-91ea-b9068dc3d79e","b0xthlzzgrqqmlv072jia3a1q","2020-09-03","offer-mzfcqdh2lst7k","Public","Informatica Data Quality","0e5cdade-28f5-4670-a6ba-b3cf8ea6faf6","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Data Privacy Management 1041 - RHEL","c6dd3680-8cb2-48e5-9a7a-eb6cc426c268","bru44v5idxqificjdsi01uwrs","2020-09-09","offer-lbq6laz2l5zvc","Public","Informatica Data Privacy Management","d0b3768b-cea4-416e-ad7b-1ca2120cd9ae","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica Enterprise Data Preparation - Rhel","0d8414db-8cfc-42b4-93e3-782c95eab620","st11c9o2fkzh4mtm7txm79k0","2020-04-15","offer-4j6oolr3mhkue","Public","Informatica Enterprise Data Preparation","0afc7704-c1c0-4304-82b6-7666e0bc8c75","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica PowerCenter For Windows (BYOL)","e763105f-570f-4fab-801c-b255825c5d0d","dp5h2ve0q5lhriobf38bhu0wd","2020-08-06","offer-xapgcenbipixa","Public","Informatica PowerCenter","43d46f61-bf29-4c69-a6f1-fb1f44fb9523","gnR4LB5HV21","","","bCsPWyHx4FG"
"0315-8423-6881","Informatica PowerCenter For Red Hat Linux (BYOL)","04f08e4e-14f2-4ac5-989b-c8fd9cca78bc","aj03qvcbozufu56ew0u6rd18","2020-08-06","offer-xapgcenbipixa","Public","Informatica PowerCenter","43d46f61-bf29-4c69-a6f1-fb1f44fb9523","gnR4LB5HV21","","","bCsPWyHx4FG"
"0395-4059-7224","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2019-08-27","aiuhmjnu9qqdkztzj54s7nh15","Public","","","DrvXcXACWyT","","","6qNiFt1KTK5"
"0414-8355-2419","Informatica Remote Access Jump Server","52a175fa-cae4-42ef-88df-3d113b71d4e7","4w3y90hx6tdbfy7xvv2vim5t3","2019-07-03","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","cQV4U4VhRf","","","cQV4U4VhRf"
"0414-8355-2419","Informatica Hadoop-Cluster Image for EDC","85c0aa97-5554-4147-9eb0-94303afb4ac6","7x2ci0we5b2vikhvg2iwjy0na","2019-07-03","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","cQV4U4VhRf","","","cQV4U4VhRf"
"0414-8355-2419","Informatica Enterprise Data Catalog","29fbb919-4f8a-4af7-9e46-ba061ade5d5d","2hh82o246wij4w0fcz9f5h9wd","2019-07-03","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","cQV4U4VhRf","","","cQV4U4VhRf"
"0429-6755-0238","Informatica Data Quality For RHEL (BYOL)","b788a592-68c3-49f1-a73f-cebb8908f2e6","av5vh3shzny6l5b8xrh9a9y3q","2019-12-13","av5vh3shzny6l5b8xrh9a9y3q","Public","","","BzEDkh1Sjyx","","","V6Gh2Sx2KBh"
"0435-0338-5812","Informatica Big Data Management (BYOL)","cd43828b-511e-4d5c-a443-a0b03569a334","c5h4rsrjctqqjg1udtyxxekac","2018-01-04","c5h4rsrjctqqjg1udtyxxekac","Public","","","X1e2QNqpHx2","","","X1e2QNqpHx2"
"0463-1539-7517","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2020-02-25","aiuhmjnu9qqdkztzj54s7nh15","Public","","","J5FwLPuxVTc","","","fxhYbS3YxtE"
"0464-9241-3931","Informatica PowerCenter For Red Hat Linux (PAYG)","a1394219-fced-4a9c-87b9-b525ab7793f0","9jm3n4pl2h59tpnsrilkg190w","2017-12-15","9jm3n4pl2h59tpnsrilkg190w","Public","","","PSyHG2kQHGe","","","ZJZQmRpZrtq"
"0464-9241-3931","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2017-12-15","aiuhmjnu9qqdkztzj54s7nh15","Public","","","PSyHG2kQHGe","","","ZJZQmRpZrtq"
"0471-5538-4813","Informatica Enterprise Data Catalog - Rhel","f14bcb8d-1ceb-4d05-b2b6-07d944d1f708","ea9rhy6qshwsphjkp39gwbmko","2020-03-24","offer-qaseju72rnfoe","Public","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Enterprise Data Preparation - Rhel","0d8414db-8cfc-42b4-93e3-782c95eab620","st11c9o2fkzh4mtm7txm79k0","2020-03-24","offer-4j6oolr3mhkue","Public","Informatica Enterprise Data Preparation","0afc7704-c1c0-4304-82b6-7666e0bc8c75","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Remote Access Jump Server","52a175fa-cae4-42ef-88df-3d113b71d4e7","4w3y90hx6tdbfy7xvv2vim5t3","2019-07-09","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Data Quality For Windows (BYOL)","56aa4bec-8379-4f76-9e08-f99c6b7d57e9","54pi6dirauiqk20ougnfis25l","2018-11-02","54pi6dirauiqk20ougnfis25l","Public","","","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Enterprise Data Catalog","29fbb919-4f8a-4af7-9e46-ba061ade5d5d","2hh82o246wij4w0fcz9f5h9wd","2019-07-09","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Enterprise Data Preparation -Bastion","92fae392-02a2-4ef4-8c92-9514b4382a9a","8p98mkhe5k1e2ibbb1617eqvu","2020-03-24","offer-4j6oolr3mhkue","Public","Informatica Enterprise Data Preparation","0afc7704-c1c0-4304-82b6-7666e0bc8c75","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Data Quality For RHEL (BYOL)","b788a592-68c3-49f1-a73f-cebb8908f2e6","av5vh3shzny6l5b8xrh9a9y3q","2020-10-02","av5vh3shzny6l5b8xrh9a9y3q","Public","","","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Intelligent Cloud Services ETL for Amazon PAYG","cf673aed-799a-4df2-a9bc-546e97127088","ca1ah6au715l3h594zaw0hnd4","2018-09-07","ca1ah6au715l3h594zaw0hnd4","Public","","","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Hadoop-Cluster Image for EDC","85c0aa97-5554-4147-9eb0-94303afb4ac6","7x2ci0we5b2vikhvg2iwjy0na","2019-07-09","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Big Data Management (BYOL)","cd43828b-511e-4d5c-a443-a0b03569a334","c5h4rsrjctqqjg1udtyxxekac","2017-12-08","c5h4rsrjctqqjg1udtyxxekac","Public","","","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0471-5538-4813","Informatica Enterprise Data Catalog - Bastion","dcf7c1e2-b242-40b7-8b3d-0660f1e3b8d8","d2y1srilp9bt0hny7jwuveeoo","2020-03-24","offer-qaseju72rnfoe","Public","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","gnR4LB5HV21","","","3NNh1rkzqjZ"
"0475-3967-6922","Informatica Big Data Management","b1dd2def-4f96-41c3-9e2d-1837a11216e5","aj2unw04iokvt8qfnv02nq485","2020-06-30","aj2unw04iokvt8qfnv02nq485","Public","","","VCc5WaK1BKd","","","VCc5WaK1BKd"
"0506-1564-0735","Informatica Enterprise Data Catalog - Rhel","f14bcb8d-1ceb-4d05-b2b6-07d944d1f708","ea9rhy6qshwsphjkp39gwbmko","2020-10-08","offer-qaseju72rnfoe","Public","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","Ko4hGesmHrG","","","X9LBEmJcxQ9"
"0506-1564-0735","Informatica Enterprise Data Catalog - Bastion","dcf7c1e2-b242-40b7-8b3d-0660f1e3b8d8","d2y1srilp9bt0hny7jwuveeoo","2020-10-08","offer-qaseju72rnfoe","Public","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","Ko4hGesmHrG","","","X9LBEmJcxQ9"
"0517-0447-8360","Informatica PowerCenter For Red Hat Linux (PAYG)","a1394219-fced-4a9c-87b9-b525ab7793f0","9jm3n4pl2h59tpnsrilkg190w","2018-02-14","9jm3n4pl2h59tpnsrilkg190w","Public","","","gf6zCAAzSLr","","","L9uczSZv6iF"
"0536-7866-4297","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2018-12-13","aiuhmjnu9qqdkztzj54s7nh15","Public","","","SjhVrJA5dzE","","","8zFzeCnvu66"
"0565-4409-4816","Vibe Data Stream for Machine Data","1c1b8717-d4ec-4351-b54c-2f10289b825a","1nwl5t5nxb38fu0ishezv4va2","2015-03-31","1nwl5t5nxb38fu0ishezv4va2","Public","","","NzWqEUWqAsA","","","NzWqEUWqAsA"
"0617-3724-9886","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2019-02-17","aiuhmjnu9qqdkztzj54s7nh15","Public","","","d9KdFA99RX8","","","d9KdFA99RX8"
"0617-3724-9886","Informatica PowerCenter For Windows (BYOL)","73eb10f0-ef93-494a-bff4-de78cbe56fcb","6v1zb9yrtsigaykmxgr2y7557","2019-02-17","6v1zb9yrtsigaykmxgr2y7557","Public","","","d9KdFA99RX8","","","d9KdFA99RX8"
"0630-4301-5640","Informatica Hadoop-Cluster Image for EDC","85c0aa97-5554-4147-9eb0-94303afb4ac6","7x2ci0we5b2vikhvg2iwjy0na","2019-09-16","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","MaBjnyCSv4j","","","duVZ8p8U7Nd"
"0630-4301-5640","Informatica Remote Access Jump Server","52a175fa-cae4-42ef-88df-3d113b71d4e7","4w3y90hx6tdbfy7xvv2vim5t3","2019-09-16","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","MaBjnyCSv4j","","","duVZ8p8U7Nd"
"0630-4301-5640","Informatica Enterprise Data Catalog","29fbb919-4f8a-4af7-9e46-ba061ade5d5d","2hh82o246wij4w0fcz9f5h9wd","2019-09-16","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","MaBjnyCSv4j","","","duVZ8p8U7Nd"
"0631-1495-3460","Informatica Big Data Management","e1c7914f-2552-4184-8394-dc2348458309","dd78l7yoaveyrb70mmdn80lxl","2018-09-17","offer-zsibznfxcdstu","Public","Informatica Big Data Management","73cfd3db-c109-45dc-acd9-88a914ba3b3b","hx8KCHPKp8c","","","hx8KCHPKp8c"
"0631-1495-3460","Informatica Big Data Management","c7cfaf5d-be97-48f4-8722-67ed54b672cb","btusblrp1k2191podtjrzj8wb","2018-09-17","offer-zsibznfxcdstu","Public","Informatica Big Data Management","73cfd3db-c109-45dc-acd9-88a914ba3b3b","hx8KCHPKp8c","","","hx8KCHPKp8c"
"0646-9620-3374","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2017-01-25","aiuhmjnu9qqdkztzj54s7nh15","Public","","","MeUBPy273oM","","","fB6sHYNWJeE"
